order,round,implementation,provider,boundary,scenario,samples,failures,logical_kms_min,logical_kms_max,operation_peak,workload_peak,active_at_return,queries_min,queries_max,totalMs_p50,totalMs_p90,totalMs_p95,totalMs_p99,proofMs_p50,proofMs_p90,proofMs_p95,proofMs_p99,lockHeldClientMs_p50,lockHeldClientMs_p90,lockHeldClientMs_p95,lockHeldClientMs_p99,advisoryWaitRoundTripMs_p50,advisoryWaitRoundTripMs_p90,advisoryWaitRoundTripMs_p95,advisoryWaitRoundTripMs_p99,sqlExcludingAdvisoryMs_p50,sqlExcludingAdvisoryMs_p90,sqlExcludingAdvisoryMs_p95,sqlExcludingAdvisoryMs_p99,kmsSumMs_p50,kmsSumMs_p90,kmsSumMs_p95,kmsSumMs_p99
1,1,baseline,claude-code-oauth-token,prepare,equal,20,0,0,0,0,0,0,7,7,6.211,7.321,7.831,9.694,0.016,0.032,0.046,0.046,4.625,5.866,7.267,8.552,0.397,1.124,1.15,1.281,3.678,4.457,6.209,7.767,0,0,0,0
1,1,baseline,claude-code-oauth-token,prepare,equivalent,20,0,2,2,1,1,0,7,7,45.324,46.408,46.683,47.662,40.994,41.186,41.211,41.217,3.191,4.687,4.979,5.334,0.271,0.487,0.62,0.626,2.766,3.75,3.953,4.62,40.546,40.695,40.735,40.761
1,1,baseline,claude-code-oauth-token,prepare,unequal,20,0,2,2,1,1,0,7,7,44.731,47.068,47.147,48.197,40.96,41.199,41.264,41.336,3.072,5.271,5.304,6.135,0.258,0.449,0.467,0.477,2.383,4.549,4.737,5.668,40.544,40.677,40.778,40.788
1,1,baseline,claude-code-oauth-token,prepare,first-error,20,20,1,1,1,1,0,7,7,24.051,26.189,28.777,59.638,20.398,20.545,20.583,20.876,3.201,4.205,6.895,36.63,0.268,0.446,0.531,0.7,2.408,3.495,4.916,33.255,20.274,20.424,20.431,20.77
1,1,baseline,claude-code-oauth-token,prepare,second-error,20,20,2,2,1,1,0,7,7,45.098,46.485,47.227,48.885,40.881,41.03,41.079,41.093,3.248,4.293,5.236,7.766,0.3,0.408,0.55,0.755,2.764,3.981,4.885,4.98,40.591,40.735,40.801,40.883
1,1,baseline,claude-code-oauth-token,prepare,both-errors,20,20,1,1,1,1,0,7,7,83.79,85.016,85.266,85.792,80.52,80.599,80.616,80.642,3.066,4.071,4.169,4.441,0.245,0.371,0.462,1.563,2.136,2.932,3.105,3.924,80.405,80.485,80.505,80.536
1,1,baseline,claude-code-oauth-token,prepare,slow-sibling,20,0,2,2,1,1,0,7,7,105.676,109.452,112.493,123.399,101.174,101.428,101.487,111.093,3.472,7.121,9.665,11.103,0.254,0.486,0.795,1.098,3.207,6.802,7.696,8.222,100.69,100.952,101.011,110.368
1,1,baseline,claude-code-oauth-token,prepare,abort-error,20,20,1,1,1,1,0,7,7,24.122,24.638,24.892,26.854,20.463,20.506,20.517,20.604,3.128,3.996,4.159,5.395,0.196,0.41,0.436,0.547,2.412,2.894,3.069,5.351,20.374,20.411,20.418,20.52
1,1,baseline,claude-code-oauth-token,prepare,cancel-request,20,20,2,2,1,1,0,7,7,105.02,105.705,106.736,106.894,101.276,101.562,101.59,101.628,3.152,4.318,5.027,5.366,0.3,0.464,0.478,0.5,2.475,3.11,4.027,4.997,100.767,100.948,101.071,101.128
1,1,baseline,claude-code-oauth-token,prepare,same-provider-4,80,0,2,2,1,4,0,7,7,49.893,57.219,59.935,82.979,40.667,41.558,41.749,42.287,3.288,4.405,4.669,28.303,5.539,11.643,12.744,38.496,2.883,3.876,4.457,27.776,40.365,41.129,41.42,41.91
1,1,baseline,claude-code-oauth-token,prepare,different-providers-4,80,0,2,2,1,4,0,7,7,46.137,48.503,50.014,50.695,41.026,41.752,41.847,42.338,3.847,6.077,7.135,8.265,0.463,1.399,1.655,2.177,3.722,5.914,6.657,7.668,40.809,41.497,41.648,41.997
1,1,baseline,claude-code-oauth-token,bundle,equal,20,0,1,1,1,1,0,7,7,24.018,25.826,25.933,27.691,0,0,0,0,23.346,24.287,25.325,27.212,0.212,0.469,0.525,0.58,2.553,3.648,3.837,5.626,20.358,20.419,20.426,20.72
