cohort,candidate_revision,label,kind,arm,run_id,pair,api_status,execution_valid,api_to_spawn_ms,api_to_agent_ready_ms,handoff_ms,primary_metric_available,formal_primary_eligible,expected_counter,verified_counter_after_completion,verified_path,exclusion_reason
smoke3,v1,smoke3-seed,seed,baseline,81dd7002-1f66-49a0-89b1-30bcf3359a9a,,failed,False,872,1009,,True,False,0,,,preflight_seed_cli_marker_failure
smoke4,v1,smoke4-p01-1-candidate,sample,candidate,ff0b18d3-3f55-4b23-a3c3-4ec2a0127c39,1,completed,True,708,824,,True,False,0,1,workspace_cache_plus_ready_blank,preflight
smoke4,v1,smoke4-p01-2-baseline,sample,baseline,3c413955-9a11-4fbf-9392-75c07e406d1d,1,completed,True,595,805,,True,False,1,2,workspace_cache_plus_fresh_sandbox,preflight
smoke4,v1,smoke4-seed,seed,baseline,97af05f6-dba9-4292-b812-cab8d9458370,,completed,True,833,980,,True,False,0,0,,preflight
formal,v1,formal-p01-1-baseline,sample,baseline,3581d85b-dbf4-4206-b100-bc72558c1864,1,completed,True,717,829,,True,True,2,3,workspace_cache_plus_fresh_sandbox,
formal,v1,formal-p01-2-candidate,sample,candidate,7b57b23e-397e-489b-af34-ce72b643aba1,1,completed,True,783,892,35,True,True,3,4,workspace_cache_plus_ready_blank,
formal,v1,formal-p02-1-candidate,sample,candidate,edafadde-6712-4262-9422-89682b449ba1,2,completed,True,783,895,35,True,True,4,5,workspace_cache_plus_ready_blank,
formal,v1,formal-p02-2-baseline,sample,baseline,68b590b0-9243-4d6d-b4e6-b38d165c6cad,2,completed,True,571,791,,True,True,5,6,workspace_cache_plus_fresh_sandbox,
formal,v1,formal-p03-1-baseline,sample,baseline,9e79d9f4-1ab2-4290-a10a-b4d7c00eb113,3,completed,True,618,828,,True,True,6,7,workspace_cache_plus_fresh_sandbox,
formal,v1,formal-p03-2-candidate,sample,candidate,8cfe9f6d-d1e0-4138-9c91-3210323e2755,3,completed,True,747,763,34,True,True,7,8,workspace_cache_plus_ready_blank,
