cohort,trial,arm,create_ms,start_ms,prewarm_ms,unpark_ms,unmount_ms,patch_ms,mount_ms,restore_ms,ready_ms,verify_ms,activation_verified_ms,vmm_lifetime_cpu_ms,vmm_major_faults,vmm_rss_kib,vmm_hwm_kib
paired-cohort1,paired-cohort1-0-fresh-0,fresh,0.5577139999999999,65.396926,,,,,52.305307,8.337620000000001,126.60415599999999,934.33133,1060.938594,560.0,0,116224,116224
paired-cohort1,paired-cohort1-0-blank-0,blank,12.201702,66.84321999999999,149.176249,3.560785,20.144962999999997,4.082034,6.94543,2.130714,36.873264000000006,906.1071320000001,942.98282,580.0,0,116996,116996
paired-cohort1,paired-cohort1-1-blank-0,blank,13.033074000000001,56.019897,143.889903,4.222041,28.993250000000003,3.097227,7.841322,2.769909,46.930738,1137.6207570000001,1184.5539449999999,640.0,0,118072,118072
paired-cohort1,paired-cohort1-1-fresh-0,fresh,0.441066,72.994723,,,,,57.32578,7.54114,138.30974400000002,946.4166200000001,1084.728731,600.0,0,116280,116280
paired-cohort1,paired-cohort1-2-fresh-0,fresh,0.434539,75.499697,,,,,61.447012,8.414221,145.80315399999998,957.829535,1103.6355520000002,630.0,0,116956,116956
paired-cohort1,paired-cohort1-2-blank-0,blank,14.794633999999999,61.758874,150.26511000000002,4.61533,23.989496,4.153005,7.5187159999999995,2.1749899999999998,42.460249,1273.22929,1315.693083,650.0,0,117688,117688
paired-cohort1,paired-cohort1-3-blank-0,blank,14.472940999999999,69.58950999999999,155.244057,5.030123,24.707423,3.8904769999999997,7.640084,3.122749,44.400566000000005,1139.009725,1183.413546,630.0,0,117940,117940
paired-cohort1,paired-cohort1-3-fresh-0,fresh,0.45796,61.732502000000004,,,,,61.822159,9.230625,133.249868,1058.492013,1191.7453710000002,620.0,0,116512,116512
paired-cohort1,paired-cohort1-4-fresh-0,fresh,0.436768,72.095853,,,,,53.599368,8.235846,134.37555500000002,950.994486,1085.3727660000002,600.0,0,117024,117024
paired-cohort1,paired-cohort1-4-blank-0,blank,12.422946000000001,61.547841999999996,158.28789700000002,4.345515000000001,22.491924,3.194239,7.764679,2.433002,40.237654,1346.395452,1386.635801,640.0,0,117676,117676
paired-cohort1,paired-cohort1-5-blank-0,blank,14.539075,67.699612,149.34678300000002,4.309645,24.550033,3.502599,8.098678999999999,2.5815360000000003,43.051771,1225.203348,1268.257867,600.0,0,117952,117952
paired-cohort1,paired-cohort1-5-fresh-0,fresh,0.487733,70.795732,,,,,56.77495,7.7160969999999995,135.782391,957.7410910000001,1093.526215,590.0,0,116292,116292
paired-cohort1,paired-cohort1-6-fresh-0,fresh,0.728109,61.587293,,,,,59.349446,7.704543999999999,129.379485,967.08317,1096.465616,610.0,0,116588,116588
paired-cohort1,paired-cohort1-6-blank-0,blank,12.333569,70.078482,142.910146,3.896407,23.676160000000003,3.475486,7.690422,2.07389,40.820724000000006,1253.1041460000001,1293.927715,640.0,0,117780,117780
paired-cohort1,paired-cohort1-7-blank-0,blank,13.505936,68.021911,151.715677,4.525073,22.333979,3.584574,7.2797160000000005,2.47002,40.199969,1330.102075,1370.304676,620.0,0,118120,118120
paired-cohort1,paired-cohort1-7-fresh-0,fresh,0.39671,68.426532,,,,,59.683897,9.068189,137.58424,953.7402910000001,1091.327772,600.0,0,116508,116508
paired-cohort2,paired-cohort2-0-fresh-0,fresh,0.43962500000000004,60.032317,,,,,50.504541,12.216034,123.200708,942.203397,1065.407146,590.0,0,117212,117212
paired-cohort2,paired-cohort2-0-blank-0,blank,13.981899,74.024722,159.487683,4.031173,25.717376,3.515313,7.719969,2.600293,43.591632,1135.8052249999998,1179.3995770000001,630.0,0,117864,117864
paired-cohort2,paired-cohort2-1-blank-0,blank,13.641553,62.695132,145.206856,3.777236,26.731968,3.7508440000000003,6.671302,2.366259,43.305247,1130.704504,1174.012831,600.0,0,118848,118848
paired-cohort2,paired-cohort2-1-fresh-0,fresh,0.442625,65.047229,,,,,54.536768,8.73758,128.772265,937.459649,1066.234643,580.0,0,116172,116172
paired-cohort2,paired-cohort2-2-fresh-0,fresh,0.8944639999999999,69.66873,,,,,52.935629999999996,9.471193,132.97795200000002,960.722072,1093.702894,600.0,0,116608,116608
paired-cohort2,paired-cohort2-2-blank-0,blank,13.420817999999999,61.384687,151.682913,3.654141,24.421844,3.298558,7.793416,2.776532,41.952269,1133.896058,1175.850867,620.0,0,117800,117800
paired-cohort2,paired-cohort2-3-blank-0,blank,15.968148000000001,73.86739,154.514456,4.066440999999999,24.370777999999998,3.097374,7.208176,2.633651,41.383855999999994,1237.1697470000001,1278.5561480000001,630.0,0,117612,117612
paired-cohort2,paired-cohort2-3-fresh-0,fresh,0.442944,67.782118,,,,,58.140272,8.783004,135.156511,956.883083,1092.042948,610.0,0,116408,116408
paired-cohort2,paired-cohort2-4-fresh-0,fresh,0.542758,69.44416100000001,,,,,59.929937,8.180327,138.104594,1066.089617,1204.196745,640.0,0,116560,116560
paired-cohort2,paired-cohort2-4-blank-0,blank,12.922606,68.767357,152.938273,4.170144,24.245209,3.0762229999999997,7.797453,2.216798,41.513359,1236.97291,1278.488957,620.0,0,117916,117916
paired-cohort2,paired-cohort2-5-blank-0,blank,15.321377,64.949876,148.96786,4.028109000000001,23.378974,3.178633,8.599292,2.445885,41.638873,1243.459779,1285.101366,620.0,0,117872,117872
paired-cohort2,paired-cohort2-5-fresh-0,fresh,0.467431,67.23504600000001,,,,,56.057369,7.147722,130.914725,1046.3689709999999,1177.286321,570.0,0,116632,116632
paired-cohort2,paired-cohort2-6-fresh-0,fresh,0.447466,57.249923,,,,,56.197044,8.728384,122.630058,1040.576841,1163.2097479999998,570.0,0,116152,116152
paired-cohort2,paired-cohort2-6-blank-0,blank,13.579583,67.903048,152.303491,4.015953,21.878161,3.395435,7.037701,1.76339,38.097792999999996,906.965627,945.066819,560.0,0,117004,117004
paired-cohort2,paired-cohort2-7-blank-0,blank,13.448421999999999,67.665746,146.70671299999998,4.387824999999999,23.210054,3.486288,8.297901999999999,2.600951,41.990311000000005,1226.150095,1268.1430169999999,600.0,0,117776,117776
paired-cohort2,paired-cohort2-7-fresh-0,fresh,1.02774,66.29368,,,,,53.585565,8.713982,129.62915999999998,1046.789865,1176.4220540000001,580.0,0,116104,116104
paired-final1,paired-final1-0-fresh-0,fresh,0.452179,69.351422,,,,,54.632471,9.176515,133.620197,940.772352,1074.395225,580.0,0,116180,116180
paired-final1,paired-final1-0-blank-0,blank,16.736763000000003,69.666386,155.457283,3.997524,20.214309999999998,3.110618,7.5897630000000005,2.30334,37.220838,1246.277721,1283.5000590000002,620.0,0,117828,117828
paired-final1,paired-final1-1-blank-0,blank,12.716460000000001,68.699523,151.06430600000002,4.27902,29.638728,3.0818600000000003,6.888914000000001,2.177237,46.072706999999994,1141.0245080000002,1187.098396,610.0,0,117752,117752
paired-final1,paired-final1-1-fresh-0,fresh,0.362487,70.15689499999999,,,,,52.589973,9.986773,133.10305,1057.6119310000001,1190.716581,590.0,0,116436,116436
paired-final1,paired-final1-2-fresh-0,fresh,0.458821,73.09795600000001,,,,,59.253558999999996,8.310832000000001,141.12804500000001,957.8030749999999,1098.934423,620.0,0,117196,117196
paired-final1,paired-final1-2-blank-0,blank,13.857978,66.777834,149.311683,3.836605,20.342967,3.082029,6.771486,2.487699,36.52586,1227.620862,1264.149179,590.0,0,117944,117944
paired-final1,paired-final1-3-blank-0,blank,13.547995,68.75992000000001,157.107209,3.9694839999999996,29.354133,3.9583459999999997,7.45562,2.345182,47.091336999999996,1022.921845,1070.016043,600.0,0,117400,117400
paired-final1,paired-final1-3-fresh-0,fresh,0.387501,59.354005,,,,,58.014973,9.124818999999999,126.88716699999999,933.561972,1060.4505980000001,580.0,0,116356,116356
paired-final1,paired-final1-4-fresh-0,fresh,0.4327,67.189898,,,,,50.996208,7.794495,126.419634,946.42421,1072.845827,570.0,0,116508,116508
paired-final1,paired-final1-4-blank-0,blank,13.603096,68.285706,159.253684,4.349538,25.611249,3.7539409999999998,8.305431,3.071316,45.097465,1229.420199,1274.519891,640.0,0,117716,117716
paired-final1,paired-final1-5-blank-0,blank,13.482358,73.389568,150.472312,4.711838,25.166024,3.324788,8.251674000000001,2.779354,44.243653,1224.234212,1268.479836,590.0,0,117816,117816
paired-final1,paired-final1-5-fresh-0,fresh,0.43440999999999996,71.966478,,,,,60.184106,9.686776,142.277932,957.052306,1099.332465,610.0,0,116176,116176
paired-final1,paired-final1-6-fresh-0,fresh,0.35898800000000003,61.167303,,,,,61.55206,9.685559,132.77094,954.664528,1087.43748,610.0,0,116236,116236
paired-final1,paired-final1-6-blank-0,blank,13.778326,64.156549,145.983861,3.9457459999999998,23.201574,3.241957,7.9331439999999995,2.2065129999999997,40.536533,1143.129936,1183.668489,610.0,0,117872,117872
paired-final1,paired-final1-7-blank-0,blank,14.083153,66.256729,155.732225,4.570445,23.277964,3.5984939999999996,7.911825000000001,2.329351,41.695087,931.99807,973.694359,630.0,0,117148,117148
paired-final1,paired-final1-7-fresh-0,fresh,0.38307199999999997,73.280489,,,,,57.129816,8.703705000000001,139.50401300000001,945.3337939999999,1084.8401800000001,610.0,0,117072,117072
paired-final2,paired-final2-0-fresh-0,fresh,0.602135,60.306224,,,,,56.420797,9.70504,127.04121700000002,947.608094,1074.6515590000001,610.0,0,116132,116132
paired-final2,paired-final2-0-blank-0,blank,13.217874,64.476267,148.82914399999999,4.433083,21.82282,3.1144290000000003,8.513947,2.286948,40.177602,1235.41061,1275.591113,610.0,0,117920,117920
paired-final2,paired-final2-1-blank-0,blank,12.691086,71.636111,150.153248,4.470967,22.864359,2.98407,8.486946,2.72784,41.538842,1248.222245,1289.763522,630.0,0,117760,117760
paired-final2,paired-final2-1-fresh-0,fresh,0.5419930000000001,60.818267,,,,,52.933847,8.257774000000001,122.558117,1027.866225,1150.426405,560.0,0,116176,116176
paired-final2,paired-final2-2-fresh-0,fresh,0.477563,73.14884400000001,,,,,53.482013,7.136362999999999,134.250272,932.466278,1066.7190150000001,570.0,0,116940,116940
paired-final2,paired-final2-2-blank-0,blank,12.221497,68.403353,155.213374,3.576632,22.693279,3.601997,8.404316999999999,2.470542,40.756876,1137.692376,1178.4515840000001,630.0,0,117724,117724
paired-final2,paired-final2-3-blank-0,blank,13.151084,65.215287,146.715903,4.462394,22.192125,3.773133,8.323189,2.031333,40.790312,1242.2614890000002,1283.0539569999999,610.0,0,117904,117904
paired-final2,paired-final2-3-fresh-0,fresh,0.46425,76.439347,,,,,56.359701,12.616252999999999,145.88578199999998,964.705142,1110.593568,650.0,0,116824,116824
paired-final2,paired-final2-4-fresh-0,fresh,0.454187,59.156393,,,,,51.650124,7.774867,119.042062,1049.378327,1168.422558,570.0,0,116212,116212
paired-final2,paired-final2-4-blank-0,blank,12.622227,67.86960499999999,144.038238,3.693571,28.446157,3.197746,7.423103,2.479161,45.245696,1130.8115400000002,1176.059241,610.0,0,117768,117768
paired-final2,paired-final2-5-blank-0,blank,12.602896000000001,72.67348,149.860267,4.031562,28.371341,3.738182,6.415902,2.351671,44.915096,1022.9084500000001,1067.82586,560.0,0,117104,117104
paired-final2,paired-final2-5-fresh-0,fresh,0.673515,57.54143,,,,,57.327586,12.080007,127.63022099999999,1044.814829,1172.446825,590.0,0,116320,116320
paired-final2,paired-final2-6-fresh-0,fresh,0.527463,66.37941,,,,,59.467259,8.68085,135.062052,1043.521125,1178.5850360000002,600.0,0,117140,117140
paired-final2,paired-final2-6-blank-0,blank,13.729313999999999,71.97147199999999,156.495031,4.417835,24.648471,3.8310739999999996,7.5777470000000005,1.819296,42.301013,1251.40253,1293.7049140000001,650.0,0,117820,117820
paired-final2,paired-final2-7-blank-0,blank,13.331757,67.528801,152.21562799999998,4.7342260000000005,25.841698,3.3710329999999997,7.431636,2.407391,43.797753,1229.004923,1272.8050930000002,620.0,0,117584,117584
paired-final2,paired-final2-7-fresh-0,fresh,0.502618,66.739813,,,,,50.472694999999995,7.833035000000001,125.554516,933.1599779999999,1058.717385,560.0,0,116464,116464
concurrent-cohort1,concurrent-cohort1-0-fresh-0,fresh,0.471161,84.13258499999999,,,,,72.552489,12.554347,169.722054,962.9876889999999,1132.71271,670.0,0,116352,116352
concurrent-cohort1,concurrent-cohort1-0-fresh-1,fresh,0.7301690000000001,84.635881,,,,,69.691348,11.558936000000001,166.623304,1050.755466,1217.3805630000002,620.0,0,116148,116148
concurrent-cohort1,concurrent-cohort1-0-blank-0,blank,13.541398,80.486694,181.78797,6.217153,30.127632000000002,5.885164,9.124181,2.427747,53.786480999999995,918.307781,972.096922,630.0,0,117320,117320
concurrent-cohort1,concurrent-cohort1-0-blank-1,blank,12.860302,74.450065,168.334455,3.643777,33.068976,2.8699179999999997,8.801623999999999,2.4494439999999997,50.838443,1039.501578,1090.341591,650.0,0,117260,117260
concurrent-cohort1,concurrent-cohort1-1-blank-1,blank,13.96036,78.088526,169.841823,4.145932,27.318421999999998,5.685016,9.025652000000001,1.917648,48.099869000000005,927.334405,975.436984,640.0,1,116844,116844
concurrent-cohort1,concurrent-cohort1-1-blank-0,blank,13.997333000000001,75.56604,174.39784799999998,7.052928,30.327676,2.889493,8.826819,2.375472,51.478518,1242.899185,1294.380413,670.0,0,118188,118188
concurrent-cohort1,concurrent-cohort1-1-fresh-1,fresh,0.34662000000000004,79.93702499999999,,,,,66.791297,10.313365999999998,157.39562600000002,1062.518031,1219.916355,660.0,0,116048,116048
concurrent-cohort1,concurrent-cohort1-1-fresh-0,fresh,0.575607,75.994193,,,,,74.450203,12.183527,163.209492,1066.926179,1230.1374540000002,670.0,0,115976,115976
concurrent-cohort1,concurrent-cohort1-2-fresh-0,fresh,0.5116269999999999,85.375515,,,,,68.029097,8.999492,162.924326,978.360657,1141.287926,670.0,0,116248,116248
concurrent-cohort1,concurrent-cohort1-2-fresh-1,fresh,0.727138,86.088969,,,,,67.381473,15.731987,169.93474899999998,1059.382166,1229.318874,670.0,0,116376,116376
concurrent-cohort1,concurrent-cohort1-2-blank-1,blank,15.296437,75.272905,177.56387800000002,7.593977,32.644087,4.035838,8.346925,3.429906,56.057957,1020.227093,1076.288667,650.0,0,117416,117416
concurrent-cohort1,concurrent-cohort1-2-blank-0,blank,15.308313,75.640362,172.897885,4.214598,25.000829,3.868146,7.807035,2.646754,43.546697,1248.3670570000002,1291.915522,660.0,1,118188,118188
concurrent-cohort1,concurrent-cohort1-3-blank-0,blank,15.026009,68.408781,167.650629,4.178659000000001,27.925663999999998,3.684726,9.469338,3.674363,48.95343,1125.9255349999999,1174.8822599999999,630.0,0,118160,118160
concurrent-cohort1,concurrent-cohort1-3-blank-1,blank,17.279916,80.659544,178.643552,7.389336,22.461302999999997,3.756612,8.299333,2.592139,44.505393999999995,1240.748245,1285.255211,650.0,0,118112,118112
concurrent-cohort1,concurrent-cohort1-3-fresh-1,fresh,0.522325,73.368371,,,,,73.308573,10.617006,157.82181400000002,965.209448,1123.03377,650.0,0,116576,116576
concurrent-cohort1,concurrent-cohort1-3-fresh-0,fresh,0.440485,66.877191,,,,,63.026799,9.248750999999999,139.600219,1068.700186,1208.302478,620.0,0,116108,116108
concurrent-cohort2,concurrent-cohort2-0-fresh-0,fresh,0.6612089999999999,78.692835,,,,,60.053652,9.576528000000001,148.99342199999998,962.801018,1111.7973809999999,650.0,0,116880,116880
concurrent-cohort2,concurrent-cohort2-0-fresh-1,fresh,0.8389800000000001,83.498223,,,,,67.868939,9.815948,162.02775599999998,973.630326,1135.6597239999999,650.0,0,116328,116328
concurrent-cohort2,concurrent-cohort2-0-blank-0,blank,15.621639,69.793232,166.69738,3.654898,24.666373,8.092017,7.698962,2.353259,46.472649,928.520628,974.995824,610.0,0,116984,116984
concurrent-cohort2,concurrent-cohort2-0-blank-1,blank,21.611304,73.338274,179.111519,6.197881,28.741966,4.006192,7.805615,2.997383,49.755476,1136.786044,1186.543294,680.0,0,117628,117628
concurrent-cohort2,concurrent-cohort2-1-blank-0,blank,14.550176,75.47235500000001,177.91763799999998,7.032268,22.614283,3.3374949999999997,9.284065,1.942777,44.218652,1028.397907,1072.630315,640.0,0,117428,117428
concurrent-cohort2,concurrent-cohort2-1-blank-1,blank,19.69989,71.800841,171.207872,4.318481,31.715590000000002,3.661417,8.432314,2.639095,50.774105,1121.253654,1172.0298950000001,620.0,0,117860,117860
concurrent-cohort2,concurrent-cohort2-1-fresh-0,fresh,0.45682900000000004,78.844566,,,,,61.184962000000006,9.228981000000001,149.722201,1072.0539,1221.777969,660.0,0,116668,116668
concurrent-cohort2,concurrent-cohort2-1-fresh-1,fresh,0.275754,79.645521,,,,,75.206723,10.351347,165.490058,1052.270104,1217.762926,640.0,1,116984,116984
concurrent-cohort2,concurrent-cohort2-2-fresh-1,fresh,0.424818,72.984151,,,,,63.795872,9.065457,146.27600199999998,958.535335,1104.814204,630.0,0,116160,116160
concurrent-cohort2,concurrent-cohort2-2-fresh-0,fresh,0.391427,72.222051,,,,,65.358261,8.961412000000001,146.939552,1046.243381,1193.184791,620.0,0,116132,116132
